title,price,bedrooms,bathrooms,city,property_type,email,phone,24/7 Security,Parking,Shared Gym,Shared Pool,Balcony,Built-in Wardrobes,Maid's Room,Fully Equipped Kitchen,Spacious Living Room,feature_score
3 BR Freehold Offplan Apartment in Sohar,OMR 57380,3.0,3.0,Sohar,Apartment,info@vistaoman.com,96871514513,False,False,True,False,False,False,False,False,False,36
2 BR Stunning Brand New Marina View Apartment in Al Mouj – Juman 2,OMR 1150,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,False,False,False,True,False,False,True,31
2-Desk Modern Business Centre Offices in Muscat Hills,OMR 219,2.6,2.8,Muscat Hills,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,23
4 BR + Maid Room Spacious Villa in Ilam Gardens with Amenities,OMR 950,4.0,4.0,Ilam Gardens with Amenities,Villa,info@vistaoman.com,96893893288,False,False,True,True,False,True,True,True,False,27
5 BR Spacious Villa in Mabelah with Small Play Area,OMR 500,5.0,5.0,Mabelah with Small Play Area,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,True,False,26
440 SQM Great Office Spaces in Azaiba,OMR 2310,2.6,2.8,Azaiba,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,19
2 BR Impressive Brand New Marina View Apartment in Al Mouj – Juman 2,OMR 1150,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,False,False,False,True,False,False,True,31
5 BR + Maid’s Room Twin Fantastic Villa in Ansab,OMR 500,5.0,5.0,Fantastic Villa in Ansab,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,True,True,False,True,27
2 BR Offplan Apartment in Bousher,OMR 60995,2.0,2.0,Bousher,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,False,32
2 BR Complex Apartment in Al Khuwair with Swimming Pool,OMR 63750,2.0,2.0,Al Khuwair with Swimming Pool,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,True,18
1 BR Stunning Freehold Apartment in Al Mouj with Shared Pool & Gym,OMR 101000,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,False,True,False,False,False,23
5 BR Spacious Villa in Azaiba Nearby Amenities,OMR 197000,5.0,5.0,Azaiba Nearby Amenities,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,False,False,29
3 BR Limited Offer Furnished Freehold Townhouse in Sultan Haitham City,OMR 176000,3.0,3.0,Sultan Haitham City,,info@vistaoman.com,96871112421,False,False,False,False,False,False,False,False,False,31
2 + 1 BR Furnished Freehold Apartment in Jebel Sifah,OMR 110000,1.0,2.0,Jebel Sifah,Apartment,info@vistaoman.com,96893893288,False,False,False,False,False,False,True,False,False,26
5 + 1 BR Large Standalone Freehold Villas in Yiti – Aida,OMR 646500,1.0,5.0,Unknown,Villa,info@vistaoman.com,96893893443,False,False,False,False,False,False,True,False,False,24
4 BR Amazing Villa with Front Yard Garden – Ghubra,OMR 850,4.0,4.0,Unknown,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,False,22
1255 SQM Amazing Showroom Space in Azaiba,OMR 8250,2.6,2.8,Azaiba,,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,15
99 SQ M Elegant Office Space in Qurum,OMR 343,2.6,2.8,Qurum,Office,info@vistaoman.com,96872349997,False,True,False,False,False,False,False,False,False,24
2 BR + Maid’s Room Fully Furnished Apartment in Ghubra with Amenities,OMR 500,2.0,2.0,Ghubra with Amenities,Apartment,info@vistaoman.com,96891991280,False,False,True,True,False,True,True,True,True,27
2 BR Excellent Flat for Rent With Pool – Bousher,OMR 570,2.0,2.0,Unknown,,info@vistaoman.com,96891991280,False,False,False,False,True,True,False,False,False,20
2 BR Freehold Fantastic Apartment in Sultan Haitham City,OMR 70850,2.0,2.0,Sultan Haitham City,Apartment,info@vistaoman.com,96871112421,False,False,False,False,True,True,False,False,True,34
"5 BR + Maid’s Room Brand New Villa – MSQ, Near Pakistani Embassy",OMR 1700,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,True,False,True,False,True,34
2 BR Fully Furnished Apartment in Bowsher Near Dunes,OMR 46000,2.0,2.0,Bowsher Near Dunes,Apartment,info@vistaoman.com,96891991280,False,False,True,False,False,False,False,True,False,24
4 BR + Maid’s Room Spacious Villa in Sultan Haitham City,OMR 247000,4.0,4.0,Sultan Haitham City,Villa,info@vistaoman.com,96871112421,False,False,False,False,False,False,False,False,False,25
2 BR Commercial/Residential Apartment in 18th Nov Street,OMR 375,2.0,2.0,18th Nov Street,Apartment,info@vistaoman.com,96872349997,False,False,False,False,True,False,False,False,True,22
4 BR + Maid’s Room Villa with Private Pool & Garden in Muscat Bay,OMR 422300,4.0,4.0,Muscat Bay,Villa,info@vistaoman.com,96871514513,False,False,False,False,True,True,True,False,False,41
"3 BR Townhouse + Maid’s Room in Dar Al Zain, Seeb with Private Pool",OMR 90000,3.0,3.0,Unknown,,info@vistaoman.com,96871514513,False,False,False,False,True,False,True,True,False,19
"6 BR Villa for Sale in Al Amerat, Second Heights",OMR 67000,6.0,6.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,False,False,True,False,26
6 BR + 1 Maid’s Room Amazing Villa for Sale in Mawaleh,OMR 146000,6.0,6.0,Mawaleh,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,False,True,False,False,23
3 BR Off Plan Duplex Apartment in Ghala Heights,OMR 73500,3.0,3.0,Ghala Heights,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,False,False,28
6 + 1 BR Incredible Villa in Mawaleh for Sale,OMR 180000,1.0,6.0,Mawaleh for Sale,Villa,info@vistaoman.com,96871514513,False,False,False,False,True,False,True,False,False,24
5 + 1 BR Freehold Furnished Penthouse Apartment – Sultan Haitham City,OMR 455015,1.0,5.0,Unknown,Penthouse,info@vistaoman.com,96871112421,False,False,True,True,False,True,True,True,False,38
5 BR Lovely Villa in Amerat,OMR 94000,5.0,5.0,Amerat,Villa,info@vistaoman.com,96893893288,False,False,False,False,True,False,False,False,False,22
DEAL ALERT!  4 BR + Maid’s Room Brand New Villa in Al-Bustan for Sale,OMR 83000,4.0,4.0,Unknown,Villa,info@vistaoman.com,96871514513,False,False,False,False,False,False,False,False,False,25
400 SQM Road-Facing Showroom for Rent in Ruwi,OMR 2500,2.6,2.8,Ruwi,,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,15
1 BR Fully Furnished Apartment in Muscat Grand Mall,OMR 70000,1.0,1.0,Muscat Grand Mall,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,True,False,22
5 BR Amazing Villa in Qurum – Near PDO,OMR 550,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,False,False,False,True,32
2 BR Amazing Apartment Boulevard Tower – Muscat Hills,OMR 400,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,True,True,False,True,False,True,True,30
1 BR Freehold Large Flat in Muscat Hills – BLV Tower,OMR 66147,1.0,1.0,Unknown,,info@vistaoman.com,96893893443,False,False,True,True,False,True,False,True,False,20
"2 BR + Maid’s Room Simplex Apartment, Madinat Sultan Qaboos",OMR 650,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,True,False,True,True,True,True,False,27
3 BR + Maid’s Room Prime Located Villa in Bosher,OMR 1250,3.0,3.0,Bosher,Villa,info@vistaoman.com,96891991280,False,False,False,False,True,True,True,True,True,27
5 BR Stunning Seafront Villa in Sifa – Private Pool,OMR 1000000,5.0,5.0,Unknown,Villa,info@vistaoman.com,96871112421,False,False,False,False,True,False,False,True,False,38
2 BR Elegant Offplan Duplex Apartment in Ghubra,OMR 58000,2.0,2.0,Ghubra,Apartment,info@vistaoman.com,96871514513,False,False,True,False,True,False,False,False,True,33
1 BR Amazing Freehold Apartment in Jebel Sifah,OMR 55000,1.0,1.0,Jebel Sifah,Apartment,info@vistaoman.com,96893893288,False,False,False,False,False,True,False,False,False,21
98 SQ M Freehold Office Space For Sale in Al Khoud,OMR 107250,2.6,2.8,Al Khoud,Office,info@vistaoman.com,96871514513,False,False,False,False,False,False,False,False,False,28
5 BR + Maid’s Room Freehold Modern Twin Villa in Sultan Haitham City,OMR 174650,5.0,5.0,Villa in Sultan Haitham City,Villa,info@vistaoman.com,96871112421,False,False,False,False,False,True,True,False,False,38
100 SQ M Office Space in Qurum,OMR 400,2.6,2.8,Qurum,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,12
7 + 1 BR Incredible Villa For Sale – Al Khoud 6,OMR 525000,1.0,7.0,Unknown,Villa,info@vistaoman.com,96893893443,False,False,False,False,False,False,False,False,False,21
2 BR Amazing Freehold Apartment in Al Mouj with Gym & Swimming Pool,OMR 203000,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,True,True,True,False,False,False,False,False,26
2 BR Corner Furnished Apartment in Ghubra,OMR 600,2.0,2.0,Ghubra,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,True,True,30
3 BR + Maid’s Room Cozy Apartment in Ghubra,OMR 350,3.0,3.0,Ghubra,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,False,True,False,True,23
1 BR Large Apartment For Sale for All Nationalities – Muscat Hills,OMR 77012,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,False,True,False,True,False,20
2 BR Freehold Beautiful Flat with Shared Pool & Gym in Muscat Hills,OMR 77377,2.0,2.0,Muscat Hills,,info@vistaoman.com,96893893443,False,False,True,True,True,True,False,True,False,21
1 BR Amazing Freehold Off Plan Apartment in Aida – Yiti,OMR 102030,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,False,True,False,False,True,False,26
3 BR Compact Furnished Flat in Mawaleh,OMR 130000,3.0,3.0,Mawaleh,,info@vistaoman.com,96893893288,False,False,False,False,False,False,False,False,False,21
"5,000 SQM Industrial Land for Rent in Misfah",OMR 4000,2.6,2.8,Misfah,,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,False,16
4 + 1 BR Stunning Villa for in Ghubra,OMR 900,1.0,4.0,Ghubra,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,True,False,False,27
2 BR Nice Apartment in Ruwi for Rent,OMR 230,2.0,2.0,Ruwi for Rent,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,True,22
3 BR + Maid’s Room Furnished Commercial Villa in Al Hail – w/ Pool,OMR 900,3.0,3.0,Unknown,Villa,info@vistaoman.com,96872349997,False,False,False,False,False,False,True,False,True,33
2 BR Great Apartment in Al Khuwair – Amenities Nearby (Gas Free),OMR 275,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,True,False,22
5 BR + Maid’s Room Well Maintained Villa for Rent – Shatti,OMR 1700,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,True,True,False,False,39
562 SQM Amazing Warehouse/Land Space in Barka for Rent,OMR 1967,2.6,2.8,Barka for Rent,,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,17
7 BR + 1 Maid’s Room Spacious Villa for Rent in Azaiba,OMR 2200,7.0,7.0,Azaiba,Villa,info@vistaoman.com,96871514513,False,False,False,False,False,True,True,False,False,27
"1 BR Luxury Apartment – The Great Escape, AIDA by DarGlobal",OMR 95451,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,True,False,37
98 SQM Freehold Retail Shops for Sale in Muscat Hills,OMR 108000,2.6,2.8,Muscat Hills,Shop,info@vistaoman.com,96871514513,False,False,False,False,False,False,False,False,False,51
3 BR Spacious Villa in Al Amarat with Security System,OMR 120000,3.0,3.0,Al Amarat with Security System,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,False,False,True,False,21
1 BR Freehold Apartment with Terrace in Muscat Hills,OMR 60294,1.0,1.0,Muscat Hills,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,False,False,37
1 BR + Study Room Apartment in Al Mouj,OMR 530,1.0,1.0,Al Mouj,Apartment,info@vistaoman.com,96893891066,False,False,False,True,True,False,False,True,True,26
5 BR Stunning Villa in Barka with Private Pool,OMR 350000,5.0,5.0,Barka with Private Pool,Villa,info@vistaoman.com,96872349997,False,False,False,False,True,False,False,False,True,24
2 BR Fully Furnished Apartment | Ghubra – MGM,OMR 625,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,True,False,25
3 BR Compact Villa in Al Khuwair,OMR 500,3.0,3.0,Al Khuwair,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,False,17
10 BR + Maid’s Room Generous Villa in Azaiba,OMR 2000,10.0,10.0,Azaiba,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,False,False,True,22
378 SQM Prime Ground Floor Office – Shatti Al Qurum,OMR 2500,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,18
2 BR + Maid’s Room Elegant Flat in Qurum,OMR 52500,2.0,2.0,Qurum,,info@vistaoman.com,96893893288,False,False,False,False,False,False,True,False,False,19
5 BR + Maid’s Room Villa | Prime Location – Al Qurum 20,OMR 120000,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,False,True,False,False,28
1 BR Brand New Freehold Modern Duplex Apartment in Hawana Salalah,OMR 72100,1.0,1.0,Hawana Salalah,Apartment,info@vistaoman.com,96893893443,False,False,False,False,False,False,False,False,False,26
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,OMR 150000,2.6,3.0,Unknown,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,False,False,26
1 BR Fully Furnished Apartment in BLV Tower with Residency – Muscat Hills,OMR 68000,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,True,False,23
140 SQ M Showroom Space in CBD,OMR 500,2.6,2.8,CBD,,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,12
674 SQM Furnished Office Space in Qurum,OMR 4400,2.6,2.8,Qurum,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,18
1 BR Furnished Stunning Apartment – Al Mouj,OMR 108000,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,True,True,False,False,False,True,True,28
6 BR Stunning Grand Freehold Villa in Al Mouj for Sale,OMR 950000,6.0,6.0,Al Mouj for Sale,Villa,info@vistaoman.com,96893893443,False,False,False,False,False,False,False,False,False,25
Modern 3-Desk Business Centre Offices in Muscat Hills,OMR 329,2.6,2.8,Muscat Hills,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,24
600 SQM Fantastic Office Space in Qurum- Prime Commercial Building,OMR 3300,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,20
895 SQM Vibrant Office Spaces in Azaiba,OMR 4680,2.6,2.8,Azaiba,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,21
4 + 1 BR Large Villa in Yiti with Residency,OMR 455617,1.0,4.0,Yiti with Residency,Villa,info@vistaoman.com,96893893443,False,False,False,False,False,False,True,False,False,26
2 BR Impressive Semi Furnished Freehold Apartment in Muscat Bay,OMR 125000,2.0,2.0,Muscat Bay,Apartment,info@vistaoman.com,96871514513,False,False,False,False,False,True,False,False,False,27
5 BR + Maid’s Room Fantastic Villa in Madinat Qaboos,OMR 800,5.0,5.0,Madinat Qaboos,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,True,True,False,False,30
2 BR Apartments in Duqm For Sale WITH RESIDENCY,OMR 45000,2.0,2.0,Duqm For Sale WITH RESIDENCY,Apartment,info@vistaoman.com,96871514513,False,False,False,False,False,True,False,True,False,16
2 BR + Maid’s room Freehold Offplan Apartment in Sohar,OMR 55319,2.0,2.0,Sohar,Apartment,info@vistaoman.com,96871514513,False,False,True,False,False,False,True,False,False,37
750 SQ M Penthouse Office Space in Qurum  with Terrace,OMR 3600,2.6,2.8,Qurum  with Terrace,Penthouse,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,12
1 BR Fantastic Freehold Brand-New Apartment in Hawana Salalah,OMR 66950,1.0,1.0,Hawana Salalah,Apartment,info@vistaoman.com,96893893443,False,False,False,False,False,False,False,False,False,28
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,OMR 430,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,False,True,True,True,False,True,False,33
2 BR Off-Plan Smart Apartment in Bosher with Shared Pool and Gym,OMR 60486,2.0,2.0,Bosher with Shared Pool and Gym,Apartment,info@vistaoman.com,96893893288,False,False,True,True,True,False,False,False,False,32
400 SQM Office Space – Qurum – Nearby Amenities,OMR 1400,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,23
2 BR + Maid’s Room Nice Apartment – Muscat Bay with Amenities,OMR 700,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,True,True,True,True,True,False,30
3 BR + Maids Room Improved Villa with Private Pool/Garden – Muscat Bay,OMR 496000,3.0,3.0,Unknown,Villa,info@vistaoman.com,96871514513,False,False,False,False,True,False,False,True,True,39
Great Offer! 50 SQM Freehold Studio Apartment in Wadi Zaha,OMR 42000,2.6,1.0,Wadi Zaha,Apartment,info@vistaoman.com,96871112421,False,False,False,False,True,False,False,False,False,24
205 SQM Spacious Office for Rent – Al Khuwair,OMR 650,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,18
4 + 1 BR Standalone Villa in Aida – Dar Global,OMR 491410,1.0,4.0,Unknown,Villa,info@vistaoman.com,96893893443,False,False,False,False,False,False,True,False,False,26
114 SQM Well-Maintained Office in Bawsher,OMR 950,2.6,2.8,Bawsher,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,37
3 BR Incredible Duplex Sky Villa – Sultan Haitham City with Private Pool,OMR 133575,3.0,3.0,Unknown,Villa,info@vistaoman.com,96871112421,False,False,False,False,True,False,False,False,False,26
"3 BR Freehold Stunning Apartment – The Residences at Mandarin Oriental, Shatti Al Qurum",OMR 508082,3.0,3.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,False,True,True,False,True,True,39
"1000 SQM Ready Office Spaces in Prime Commercial Building, Qurum",OMR 5500,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,20
2 BR Modern Apartment in Bosher with Pool and Gym,OMR 500,2.0,2.0,Bosher with Pool and Gym,Apartment,info@vistaoman.com,96891991280,False,False,True,True,True,True,False,True,True,25
3 + 1 BR Freehold Apartment in Qurum – Off Plan,OMR 103574,1.0,3.0,Unknown,Apartment,info@vistaoman.com,96871514513,False,False,True,True,True,False,True,False,False,22
1 BR Furnished Apartment with Balcony – Marriott Residences AIDA,OMR 184350,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,False,False,40
"3 BR Apartment for Sale in MGM, Bausher",OMR 85000,3.0,3.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,True,True,False,False,False,24
250 SQM Office Spaces in Prime Commercial Building – Qurum,OMR 1375,2.6,2.8,Unknown,Office,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,19
2 BR Fully Furnished Freehold Modern Flat in Boulevard Tower for Sale,OMR 95000,2.0,2.0,Boulevard Tower for Sale,,info@vistaoman.com,96893893443,False,False,True,True,False,False,False,True,False,25
2 BR + Maid’s Room Stunning Apartment – Muscat Bay with Amenities,OMR 220000,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,True,True,True,True,True,False,30
"1 Bedroom Elegant Apartment – The Great Escape, AIDA by DarGlobal",OMR 89255,2.6,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,True,False,46
2 BR Stunning Apartment with Pool View | Spacious Balcony | Al Mouj,OMR 146500,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,False,True,False,True,True,28
4 + 1 Maid’s Room Amazing Villa with Private Pool in Muscat Hills,OMR 1350,2.6,4.0,Muscat Hills,Villa,info@vistaoman.com,96893891066,False,False,False,False,False,False,True,True,True,34
52 SQM Commercial Shop for Rent | Azaiba – Excellent Location,OMR 780,2.6,2.8,Unknown,Shop,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,27
"2 BR Cliffside Living Apartment in The Great Escape, AIDA by DarGlobal",OMR 138960,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,False,False,43
330 SQM Showroom for Rent at Azaiba with Amenities Nearby,OMR 2640,2.6,2.8,Unknown,,info@vistaoman.com,96872349997,False,False,False,False,False,False,False,False,False,18
49 SQM Offplan Freehold Studio Apartment in Muscat Hills,OMR 47775,2.6,1.0,Muscat Hills,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,False,False,37
3 BR + Maid’s Room Amazing Villa in Al Khuwair with Amenities Nearby,OMR 700,3.0,3.0,Al Khuwair with Amenities Nearby,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,True,False,False,30
6 BR Spacious Furnished Commercial Villa with Amenities Nearby in Seeb,OMR 125000,6.0,6.0,Seeb,Villa,info@vistaoman.com,96891991280,False,False,False,False,True,False,False,True,True,27
4 BR Duplex Apartment in Al Khoud – Freehold Property with Installments,OMR 236643,4.0,4.0,Unknown,Apartment,info@vistaoman.com,96871112421,False,True,False,False,False,True,True,True,False,31
"2 BR Exquisite Apartment in The Great Escape, AIDA by DarGlobal",OMR 138912,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,True,True,True,False,False,True,False,46
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj – with Amenities",OMR 1250,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,False,True,False,True,False,True,False,42
Freehold 1 BR apartment featuring a balcony in Sultan Haitham City,OMR 62008,1.0,1.0,Sultan Haitham City,Apartment,info@vistaoman.com,96871112421,False,False,True,True,False,False,False,True,False,27
2 BR Freehold Fully Furnished Flat in Muscat Hills For Sale,OMR 125000,2.0,2.0,Muscat Hills For Sale,,info@vistaoman.com,96872349997,False,False,False,False,True,True,False,True,False,22
